Identifiant;Geo Point;Marque;Nom
68690001;47.85563,7.05499;Total;SARL GARAGE JAEGGY
68520004;47.7399973927,7.14749619218;Système U;SUPER U BURNHAUPT
68040001;48.08936,7.3187;Total;EURL KF AUTO+
68320002;48.0958420486,7.43998297199;Carrefour Contact;CARREFOUR CONTACT SARL JOKRA
69002004;45.73461,4.81828;BP;BP LYON PONT PASTEUR
69390002;45.65803,4.75131;Total;MR TAFANI
70320003;47.88241,6.31047;Casino;CORBENAY
70200001;47.6792395737,6.50098811395;Supermarché Match;SUPERMARCHES MATCH  LURE
69610001;45.6997087496,4.4558671352;Intermarché;INTERMARCHE SOUZY
71390001;46.7157655612,4.70438224144;Atac;ATAC BUXY
71470002;46.50062,5.06716;Carrefour Contact;CARREFOUR CONTACT ROMENAY
68701001;47.7940829429,7.17179907484;Total;STATION TOTAL LA CROISIERE - GARAGE COURTOIS
69009003;45.78084,4.80059;Esso Express;ESSO BOURGOGNE
69140002;45.8177,4.90064;BP;BP RILLEUX LES SEMAILLES
69220002;46.1238824565,4.76398380592;Total;RELAIS DE SARRON
69300010;45.78825,4.83972;Total;Garage chene  station total
69360005;45.5913473472,4.82648548938;Total;RELAIS DE TERNAY
69730002;45.89259,4.82182;Leclerc;LECLERC GENAY
69760001;45.84284,4.77018;Indépendant sans enseigne;Garage bellevue
69800003;45.7181,4.95269;Total Access;TOTAL ACCESS RELAIS ST PRIEST MI PLAINE
70000002;47.62261,6.13849;Total;STATION DU LAC
71118001;46.3815913465,4.85116681953;Intermarché;ECOMARCHE ST MARTIN BELLE ROCHE
71270007;46.9605000139,5.16967574746;Avia;EURL PRIVEL relais poids lourds AVIA
71700001;46.56599,4.90176;Carrefour Market;Carrefour Market
72100008;47.9965581907,0.186953122886;Total Access;RELAIS DE LA SARTHE
73000011;45.609640913,5.88697125869;Total Access;RELAIS CHAMBERY
73100003;45.69964,5.9086;Total;RELAIS DES SOURCES
72000005;48.02306,0.18286;Total Access;RELAIS TOTAL ACCESS RHIN DANUBE
72100002;47.99687,0.17957;Carrefour Market;Carrefour Market
72150002;47.86285,0.47323;Indépendant sans enseigne;SAS LUCECO
73210001;45.5533730484,6.63990413736;Total;SARL SILVESTRE
71700003;46.57292,4.90396;Total Access;RELAIS TOTAL ACCESS  PARIS SAVOIE
71880001;46.796,4.81188;Carrefour Market;Carrefour Market
73200001;45.66783,6.37303;Carrefour Market;Carrefour Market
73700004;45.60938,6.76133;Elan;DISTRISER AUTO
75019001;48.88001,2.37055;Total;RELAIS DES CHAUFOURNIERS
71400003;46.9559517637,4.31256303356;Total Access;RELAIS DU LAC
72460002;48.062281467,0.277548346192;Casino;CASINO SAVIGNE
75019007;48.88923,2.39691;Agip;AGIP PARIS PLACE DE LA PORTE DE PANTIN
75005001;48.84787,2.35388;Total;PARIS 5 GGE ST BERNAR
76200003;49.91914,1.08604;Indépendant sans enseigne;SA MARCHAND
76430004;49.5253529936,0.365112606713;Carrefour Market;Carrefour Market
76450001;49.79179,0.63439;Carrefour Market;Carrefour Market
76700001;49.50323,0.20864;Avia;SARL ADELINE   STATION AVIA
76200001;49.90522,1.07678;Total Access;RELAIS DIEPPE DUQUESNE
76590001;49.7745228175,1.05012523129;Indépendant sans enseigne;EURL DELABRIERE JEAN-FRANCOIS
77370001;48.558094704,3.02534519556;Carrefour Market;Carrefour Market
75019012;48.8894511901,2.39754068494;Agip;AGIP PARIS PANTIN
76400008;49.75772,0.39224;Intermarché;INTERMARCHE
76680001;49.67048,1.28405;Carrefour Market;Carrefour Market
76800005;49.40075,1.06433;Elf;ELF RELAIS DES CANADIENS
77165002;49.03659,2.80086;Carrefour Market;Carrefour Market
77550003;48.6274316397,2.58589153065;Shell;MAYEUR
78200006;48.98268,1.69797;Total;RELAIS LA VILLE JOLI
77170011;48.69952,2.6025;Indépendant sans enseigne;ESSO METIN BRIE
77200001;48.85076,2.65583;Total;GARAGE OJA SA
77260008;48.94241,3.13265;BP;BP A4 AIRE DE CHANGIS
77500002;48.8782,2.60782;Total;RELAIS DE CHELLES
78180005;48.78093,2.04047;Elf;Relais de la Porte Sud
78290002;48.8754193193,2.14017857653;Total;RELAIS DES NOIREAUX
78390004;48.80335,2.01607;Total;TOTAL RELAIS DU BOIS SENON
78680002;48.9581086869,1.8120076871;Total;SARL POMMIER BENOIT FILS
80480003;49.86238,2.23121;Intermarché;INTERMARCHE SALEUX
77400002;48.87828,2.70241;BP;BP LAGNY SUR MARNE
77800001;48.3222687831,2.68629129243;Total;Total RELAIS COMMANDERIE
78380002;48.85702,2.13897;BP;BP BOUGIVAL
78590001;48.84198,2.06912;Oil France;Sif md
78710002;48.9929648973,1.6329249732;Avia;AIRE DE ROSNY  DIRECTION PROVINCE
80100004;50.1077,1.8319;Total;TERRIER
80150002;50.2437107231,1.95277772283;Total;FEUTREL
81600004;43.88919,1.90967;Leclerc;Station Leclerc Brens - A68
80132001;50.1528181579,1.81903898552;Total;RELAIS ARBRE NAPOLEON
80300002;50.0076856354,2.66640384355;Total;RELAIS D'ALBERT
83390005;43.22002,6.14628;Simply Market;Simply market
84000010;43.9428549052,4.81584355961;Total;RELAIS AVIGNON P.SEMARD
80400002;49.73809,3.09784;Total;EOR HAM GGE DURAND
83147001;43.3381,6.08248;Total;Me BOREL Genevieve
83380001;43.3407736485,6.69252480444;Total Access;RELAIS TOTAL ACCESS  LES ISSAMBRES
83600001;43.4219387737,6.7312333194;Géant;GEANT CASINO
83670002;43.56679,6.01202;Intermarché;INTERMARCHE BARJOLS
84340002;44.1756685055,5.12935024022;Elan;GARAGE MEFFRE-BRAX  CORINNE
84470001;43.92849,4.93805;Esso;ESSO SERVICE DU PLATEAU
86340001;46.4789780084,0.519124786575;Elan;PICOSSON
83720001;43.5055669072,6.4816034167;Carrefour;CARREFOUR TRANS EN PROVENCE
84800003;43.9307444078,5.06409828272;Intermarché;INTERMARCHE L'ISLE SUR SORGUE
85000002;46.66279,-1.4592;Carrefour;CARREFOUR LA ROCHE SUR YON
86320002;46.39879,0.7161;Intermarché;INTERMARCHE LUSSAC LES CHATEAUX
86360003;46.63308,0.35751;Total Access;ACCESS TOTAL RN10 BORDEAUX vers PARIS
87440001;45.70986,0.76277;Intermarché;INTERMARCHE SAS TARGE
85170006;46.77195,-1.50794;Leclerc;LECLERC PSV
85250001;46.85788,-1.17281;Système U;Super U ST FULGENT
87350003;45.8317613735,1.30403288266;Intermarché;INTERMARCHE PANAZOL
88580001;48.25103,6.95672;Total;GGE FERRY
90100002;47.5187577282,7.00121785587;Avia;GARAGE DU STADE SARL
86100010;46.8401124663,0.54742251739;Intermarché;INTERMARCHE ZI NORD CHATELLERAULT
88360001;47.9257948174,6.65866360333;Total;GMA AUTO SA GGE DU CENTRE
89470001;47.84863,3.56359;CORA;CORA
88600002;48.19927,6.72687;Leclerc;BRUYERES DISTRIBUTION
88650001;48.19763,6.9472;Système U;SUPER U
89420004;47.4857,3.99201;Esso;ESSO CUSSY
91490003;48.39317,2.46614;Intermarché;INTERMARCHE MILLY LA FORET
91940004;48.67808,2.19873;Total Access;RELAIS TOTAL ACCESS LES ULIS (2)
92120001;48.81671,2.32552;BP;BP MONTROUGE ARISTIDE BRIAND
89100009;48.17681,3.33932;Netto;NETTO
90150001;47.6878623079,6.9550831666;Total;SARL RELAIS DES 3 SAPINS
92000004;48.88767,2.18763;BP;BP NANTERRE LENINE
92130005;48.81778,2.27669;Esso Express;ESSO LA PAIX
92240007;48.8204,2.30521;BP;BP MALAKOFF LAROUSSE 8 à Huit
92400002;48.90177,2.25941;Total;RELAIS GRANDE JATTE
93290001;48.96372,2.56421;Total Access;RELAIS TREMBLAY EN FRANCE
92120002;48.81468,2.32592;Shell;SARL Hiboo France AVIA
92140009;48.81184,2.27123;BP;BP CLAMART GARE
92230009;48.92079,2.29499;BP;Station service Girardot
93330003;48.85427,2.52019;Total;RELAIS FOCH STATION TOTAL
94400003;48.78161,2.39454;Esso Express;ESSO ROUGET DE L'ISLE
93130007;48.87965,2.45695;BP;BP A3 NOISY LE SEC
93260004;48.8831,2.42674;Total Access;Relais TOTAL ACESS Lilas
