Identifiant;Geo Point;Marque;Nom
21360004;47.37861,4.38168;Avia;AVIA Creux Moreau
27600003;49.14759,1.33189;Elan;GARAGE POUPARDIN
27310003;49.35606,0.81532;Carrefour Market;Carrefour Market
29200009;48.40238,-4.4791;Intermarché;INTERMARCHE BREST CEDEX 2
29420001;48.62827,-3.98804;Système U;Super U PLOUENAN
5600005;44.67646,6.63422;Intermarché;INTERMARCHE
12310001;44.39367,2.77776;Total;MR MAJOREL
42510001;45.82099,4.17891;Carrefour Market;Carrefour Market
42450001;45.54196,4.18553;Elan;SARL GARAGE BARCET
42390001;45.47595,4.34445;Auchan;AUCHAN VILLARS
34420003;43.31218,3.2792;Carrefour Market;Carrefour Market
38610001;45.18136,5.78629;Total;SARL GGE GARCIA
13200001;43.6510755014,4.67285545973;Total;RELAIS CANTARELLES
16000003;45.6598055866,0.165332624577;Total Access;RELAIS TOTAL ACCESS ANGOULEME
17102001;45.7562474472,-0.65210476871;Système U;Hyper U Coop Atlantique Saintes
22420001;48.6087,-3.47749;Super Casino;SUPERMARCHE CASINO
22400004;48.46174,-2.51485;Leclerc;SAS TREGORDIS
2100012;49.86483,3.29121;CORA;CORA
3100005;46.35263,2.5874;Leclerc;Marais-Dis
1160002;46.0517092878,5.33286633509;Système U;SUPER U
1500006;45.97592,5.30925;Avia;LE RELAIS DE CHATEAU-GAILLARD
6130006;43.6438,6.90291;BP;BP GRASSE LES CAMPAGNETTES
13120006;43.45188,5.47465;Leader Price;Leader Gardanne
13150005;43.80743,4.66179;Total Access;TOTAL  LE  RELAIS D ARGENCE
20137002;41.5985079346,9.27576005359;VITO;SARL V.S.A CARBURANTS
17200002;45.62357,-1.01317;Total Access;RELAIS TOTAL  DE ROYAN
17170001;46.2146038719,-0.757434288266;Système U;Société COURDIS
17300003;45.92889,-0.95763;Leclerc;AUDIS-DISROCH
18000008;47.07224,2.3951;Total Access;RELAIS TOTAL ACCESS BOURGES CAMPING
18170001;46.64168,2.2839;Système U;U Express  LE CHATELET
20147001;42.2893007392,8.70022653959;Total;Mme bertolani evelyne
31600002;43.4716250039,1.33117260671;Avia;MENDES SARL
31270006;43.5241583074,1.3433411078;Total Access;RELAIS DU BLANQUET
31320004;43.5142632736,1.49981031168;Avia;AVIA SARL MARC AUTO
22600003;48.17716,-2.74737;Avia;ETS ROBIN JEAN SAS
22520001;48.61177,-2.83098;Système U;Super U BINIC
22810001;48.54944,-3.45286;Total;RELAIS PORZ AN PARK
29900003;47.88963,-3.91823;Leclerc;CONCARNEAU-DISTRIBUTION
30220002;43.57412,4.19582;Intermarché;INTERMARCHE AIGUES MORTES
3300003;46.1355406607,3.45484396671;Carrefour;CARREFOUR
8330002;49.7354395163,4.85041423467;Carrefour Contact;Carrefour Contact
6610001;43.7324113706,7.16295727023;Indépendant sans enseigne;SARL GARAGE GAUDOIS
9500001;43.0809415975,1.87658554696;Avia;SARL LA PARNI
31150001;43.6875479952,1.40426574746;Géant;GEANT CASINO
31100006;;Elf;RELAIS ELF D'ESPAGNE
35205001;48.0922,-1.69164;Système U;Super U RENNES ST JACQUES
35310002;48.0798143787,-1.83481192178;Système U;Super U MORDELLES
42440002;45.3935173764,4.27048192178;Total;RELAIS UNIEUX VIGNERON
43170003;44.96351,3.5446;Carrefour Contact;CARREFOUR CONTACT
40220003;43.53381,-1.4499;Carrefour Market;Carrefour Market
41400006;47.34219,1.17943;Esso Express;ESSO EXPRESS MONTRICHARD SAINT LUC
13127003;43.47222,5.23001;BP;BP VITROLLES CADESTEAUX
13200002;43.6695013704,4.62213493747;Total;RELAIS PT VAN GOGH
37700003;47.38116,0.74503;Total Access;RELAIS BRETECHE
38420002;45.20666,5.82805;Intermarché;INTERMARCHE DOMENE
9190002;42.9987,1.1382;Intermarché;INTERMARCHE SAINT LIZIER
24000010;45.1815,0.72129;Esso Express;ESSO EXPRESS PERIGUEUX FENELON
3400001;46.5577087947,3.33477681554;Total Access;Relais Lagarde Yzeure
3300002;46.133692098,3.44939219773;Total;Relais Lagarde Cusset
7300001;45.05476,4.83895;Carrefour Market;Carrefour Market
3100007;46.320058353,2.5809868851;Leclerc;LECLERC EXPRESS
4510002;44.0414,6.12604;Avia;EURL LE RELAIS DES MONTAGNES
13012019;43.3038,5.43663;Total Access;RELAIS FOURRAGERE
13580001;43.55066,5.20215;Elan;SARL LA FARE AUTOS
14800003;49.35733,0.0852;BP;BP DEAUVILLE
17000002;46.15322,-1.12874;Esso Express;ESSO EUROPE 234
16360001;45.4258204876,-0.172725926108;Total;LAUTRET SA
34790002;43.64602,3.81095;Esso;SARL GARAGE CLERGUE
34400016;43.67975,4.10417;BP;BP A9 AIRE AMBRUSSUM NORD
13750001;43.8105,5.00058;Total;STATION SERGE CURNIER
15200004;45.2225,2.34049;Intermarché;INTERMARCHE MAURIAC
15400001;45.27999,2.66163;Total;ROUX Hélène
13015015;43.37317,5.35319;Total;RELAIS SAINT ANTOINE
14640001;49.30689,-0.02705;Elan;GARAGE LION
18000001;47.09933,2.41603;Carrefour Market;CSF FRANCE
20145001;41.84921,9.39994;Total;SARL Relais de la Côte des Nacres
21160001;47.2674102031,4.99717729598;CORA;CORA
1600001;45.82834,4.97183;Carrefour Market;Carrefour Market
2100008;49.84389,3.27916;Esso Express;ESSO FAIDHERBE
3290001;46.52884,3.66935;Atac;ATAC DOMPIERRE  SUR BESBRE
6420001;44.18471,7.0543;Indépendant sans enseigne;SP AUTO
24100003;44.85548,0.57479;Total;SARL EVANO
24750004;45.19834,0.74134;Intermarché;INTERMARCHE TRELISSAC
25320001;47.18753,5.91233;Carrefour Contact;Carrefour Contact
29200010;48.41533,-4.47533;Intermarché;INTERMARCHE BREST
22200003;48.5625605107,-3.16559732183;Carrefour;CARREFOUR PAYS DE GUINGAMP
22110001;48.24262,-3.29499;Carrefour Market;Carrefour Market
13800009;43.49934,4.98601;Avia;SARL SUD AUTO 2000 - STATION AVIA
14123002;49.14448,-0.33842;Total Access;RELAIS DES CALLOUINS
38090003;45.6232205325,5.15669399445;Avia;AVIA TABAC PRESSE LOTO
38490003;45.5329241084,5.58670737542;Indépendant sans enseigne;STOP GARAGE  STATION BP
38980001;45.32076,5.20681;Elan;STATION ELAN / AGENT RENAULT
7150004;44.4064985395,4.39083404804;Indépendant sans enseigne;RELAIS DU PONT D'ARC
27100001;49.26986,1.20884;Simply Market;SIMPLY MARKET
27190002;48.9535972071,0.946259483827;Intermarché;INTERMARCHE CONCHES EN OUCHE
27230003;49.14151,0.44866;Total;GARAGE DU STADE
28130003;48.57925,1.56624;Intermarché;INTERMARCHE MAINTENON
30290001;44.105758402,4.66087927933;Système U;U EXPRESS LAUDUN                            LA STATION U
27700001;49.2441711809,1.4081919423;Carrefour Market;Carrefour Market
28400003;48.30526,0.80853;Indépendant sans enseigne;GS Carburants
28240004;48.4722859448,1.01985977764;Intermarché;INTERMARCHE LA LOUPE
29419001;48.4661160368,-4.25568975978;Leclerc;SODILECK S.A.S
11150002;43.27933715,2.0937715565;Indépendant sans enseigne;STATION BOURREL
13010008;43.28328,5.43351;Intermarché;INTERMARCHE MARSEILLE
17630001;46.17889,-1.32777;Intermarché;INTERMARCHE LA FLOTTE EN RE
18500001;47.154267089,2.21208602341;Carrefour Market;Carrefour Market
19100005;45.15325,1.5339;Esso Express;ESSO BRUNE
8700001;49.81889,4.74094;Carrefour Market;Carrefour Market
6670004;43.7571209527,7.19827558858;Agip;AGIP COLOMARS
13751001;43.41711,5.35583;Géant;GEANT CASINO
21190002;46.9199,4.75292;Carrefour Market;Carrefour Market
30310001;43.74219,4.22104;Système U;SUPER U
31140003;43.67784,1.42332;Total;MR FRAYCINET ROBERT
31220006;43.2620572186,1.11530700217;Indépendant sans enseigne;SARL FONTENERGIE
31290001;43.4036866906,1.72141802463;Système U;SUPER U
31440001;42.91085,0.63846;Elan;STE EXPL DES ETS FERNANDEZ
42440004;45.8301789287,3.7545071848;Intermarché;INTERMARCHE NOIRETABLE
26300008;44.9760483777,5.02829306929;Indépendant sans enseigne;Station 24/24 - Garage ROCHE
29800003;48.45012,-4.26509;Intermarché;INTERMARCHE LANDERNEAU
30300008;43.81227,4.63004;Esso;Le Mistral
33760001;44.7345664664,-0.259502846935;Indépendant sans enseigne;GARINEAU ORTEGA
21800001;47.30243,5.12641;Carrefour Market;Carrefour Market
26290003;44.42036,4.71156;Esso Express;ESSO DONZERE
26400003;44.73518,5.00715;Casino;CASINO SUPERMARCHE
25800001;47.15022,6.33675;Système U;SA ANACO
31170004;43.5777352009,1.32671523129;KAI;STATION KAI TOURNEFEUILLE
31310002;43.20107,1.22653;Shopi;CARREFOUR CONTACT
33400005;44.79521,-0.56783;Intermarché;INTERMARCHE TALENCE
33000009;44.8365903517,-0.598800240222;Total;Relais du trinquet
33138001;44.70331,-1.03713;Intermarché;SARL GPS
33520002;44.8876517532,-0.579371095821;Esso;ESSO AQUITAINE 2
34120004;43.46253,3.42506;Avia;STATION AVIA
32120002;43.73111,0.88063;Système U;SARL GASCODIS
41000006;47.66553,1.38891;Esso;ESSO BLOIS MENARS
40310001;43.98646,0.00999000000001;Système U;U express
40600003;44.44133,-1.24174;Elan;LEVEQUE ET FILS
12850003;44.369760875,2.59082353187;Indépendant sans enseigne;L'OUSTAL NAU STATION-MONTEILLET
14400004;49.27096,-0.69362;Esso Express;ESSO MONTGOMERY
35770005;48.0518,-1.60803;Total Access;total access vern sur seiche
36000001;46.80612,1.69604;Auchan;AUCHAN CHATEAUROUX
36400004;46.57396,1.97654;Intermarché;INTERMARCHE LA CHATRE
40160001;44.34909,-1.06754;Système U;SUPER U
40600001;44.39809,-1.16594;Total;STATION REPUBLIQ
33260011;44.61775,-1.12338;Leclerc;E.LECLERC LA TESTE DE BUCH
31400002;43.5750120169,1.48972428827;Avia;STATION AVIA
35590004;48.1609380975,-1.84566333536;Shell;Aire d'Armor et d'Argoat
34810001;43.39147,3.4891;Système U;SUPER U
34320002;43.5020565728,3.31735133414;Indépendant sans enseigne;STATION SERVICE RAMOND
34320003;43.5023765948,3.3166765833;Système U;SUPER U
34740001;43.65381,3.96648;Total;EOR VENDARGUES BAUDRAN
34770002;43.59481,3.88836;Esso Express;ESSO LITTORAL
26740002;44.5476696176,4.80187147706;Agip;AGIP MONTBOUCHER
43500004;45.35509,3.95105;Indépendant sans enseigne;Station communale
42500006;45.39301,4.32631;Agip;AGIP CHAMBON NORD RN 88 SENS ST ETIENNE -LE PUY
44000004;47.1855005176,-1.60159114752;Total Access;RELAIS DE BOUGUENAIS
44240006;47.25706,-1.54484;Total Access;Relais  Access La Jonelière
44370002;47.4183939991,-1.01780217986;Total;ARGEDIS TOTAL VARADES LA BEDOIRE
44370006;47.38652,-1.02574;Indépendant sans enseigne;SARL GARAGE PEU
38760001;45.0942691618,5.68370116538;Agip;AGIP VARCES CHAMP ST ANGE
39800003;46.84883,5.69653;Colruyt;STATION DATS
39800002;46.84229,5.70519;BP;BP POLIGNY
44190002;47.09763,-1.29618;Total;CLISSON AUTOS S.A.S
43200003;45.097429207,4.05909483827;Indépendant sans enseigne;Station du col
44300004;47.25825,-1.57983;Avia;RUEE SARL Rte de Rennes
44370005;47.38927,-1.0203;Système U;Super U VARADES
44390003;47.437048289,-1.51709376221;Système U;U NORT SUR ERDRE
44406001;47.19247,-1.57902;Leclerc;SODIRETZ
44570003;47.2931187077,-2.20901922574;Total;RELAIS SAVINE
45130004;47.61969,1.23717;Esso;ESSO MEUNG SUR LOIRE
45210002;48.06727,2.76633;Total;SARL PETRODOLLAR
46220003;44.50171,1.18613;Intermarché;INTERMARCHE PRAYSSAC
46400002;44.86727,1.88722;Leclerc;GRIMEN SA
45300006;48.17132,2.23559;Intermarché;INTERMARCHE
45430005;48.05541,2.5281;Intermarché Contact;INTERMARCHE CORBEILLES EN GATINA
46000006;44.4616891028,1.45042536033;Intermarché;1er INTERMARCHE cahors terre rouge
47430001;44.40462,0.18728;Carrefour;AIRE DU MAS D'AGENAIS
47550003;44.18583,0.66298;Esso;SARL RENAUD
45520002;48.0291,1.87312;BP;BP A10 AIRE DU BOIS PICARD GIDY
46160001;44.48692,1.84248;Total;SARL COUYBES
49000001;47.46912,-0.52493;Géant;GEANT CASINO
49120004;47.2349226794,-0.722750035729;Leclerc;SAS CHEMILLE
45430002;47.9075978017,2.06066757849;Total Access;RELAIS DE MARDIE
45430004;47.90593,2.03636;Leclerc;LECLERC CHECY
49412001;47.26217,-0.09006;Leclerc;SAUMUR DISTRIBUTION
50190001;49.1893533583,-1.40388981337;Carrefour Market;Carrefour Market
49400001;47.2521074519,-0.0821182827172;Total Access;RELAIS TOTAL   NANTILLY
49700001;47.18969,-0.29081;Système U;Super U DOUE LA FONTAINE
50200005;49.0623,-1.43706;Intermarché;INTERMARCHE COUTANCES
51000001;48.9424869967,4.38911136987;Carrefour;CARREFOUR CHALONS EN CHAMPAGNE
51000012;48.95588,4.36369;Total Access;RELAIS TOTAL ACCESS ST THIEBAULT
51100035;49.25775,4.01178;Total Access;TOTAL ACCESS  REIMS BREBANT
51370003;49.21872,3.96403;Indépendant sans enseigne;ECOMARCHE SAS ALIKEV
51470001;48.9528554963,4.38194080999;Avia;GARAGE PIGNY
51220001;49.37051,3.88976;Intermarché Contact;INTERMARCHE CONTACT
52500001;47.78441,5.61496;Avia;GARAGE GUENOT SARL
52700002;48.25051,5.32944;Intermarché;ECOMARCHE RIMAUCOURT
52100011;48.64256,4.96897;Intermarché;INTERMARCHE SAINT-DIZIER
52140005;47.9770453628,5.49885752632;Avia;STATION AVIA VAL DE MEUSE
52200010;47.87456,5.32348;Intermarché;INTERMARCHE SA BARVIN
56190004;47.5496067851,-2.46044113155;Total;RELAIS DE MUZILLAC
56270002;47.7365527344,-3.4293819575;Total;RELAIS LANN BIHOUE
56550002;47.67582,-3.19691;Total;MR KERZERHO CHRISTOPHE
56700001;47.8102922948,-3.26377974191;Carrefour Market;Carrefour Market
57000004;49.1298433927,6.16646092516;Total Access;RELAIS DU PORT MAZEROLLE
54700004;48.8633506162,6.09379437759;Agip;AGIP AIRE LOISY A31 sens NANCY-METZ
54800006;49.15444,5.8916;Total;TOTAL
56000005;47.63926,-2.776;Système U;U EXPRESS
54390002;48.75813,6.13614;Esso;ESSO LA GALOCHE MAILLEFERT SA
56270004;47.73414,-3.43016;Casino;CASINO SUPERMARCHE
56300002;48.0823648551,-2.94583264244;Total;SARL IZANIC
56390001;47.75549,-2.84326;Carrefour Market;Carrefour Market
57260003;48.8124067967,6.71509665476;Avia;STATION DE LA SEILLE
57400005;48.73492,7.04592;Esso Express;ESSO SARREBOURGEOISE
57170002;48.82376,6.50716;Esso Express;ESSO LA SEILLE
57230003;49.04679,7.42645;Intermarché;INTERMARCHE BITCHE
57370005;;Avia;STATION AVIA AC BOUTIQUE
59190004;50.73079,2.5437;Système U;SUPER U HAZEBROUCK
59223002;50.7538761012,3.13512384355;Total Access;RELAIS RONCQ
59380004;50.96273,2.4329;Total Access;STATION TOTAL ACCESS DU BIEREN DYCK
57470002;49.13259,6.77726;Atac;SUPERMARCHE ATAC
59113005;50.52753,3.04416;BP;BP A1 AIRE DE PHALEMPIN
57430001;48.99069,7.02796;Système U;STATION U
59300005;50.36342,3.52998;Esso Express;ESSO VALENCIENNES
59430001;51.02749,2.34372;Carrefour;CARREFOUR SAINT POL SUR MER
59650001;50.62625,3.14909;Carrefour Market;Carrefour Market
59640001;51.0242239528,2.36047848455;Total Access;RELAIS DU PONT LOBY
60530002;49.23646,2.30124;Netto;SA FOUDY
59480002;50.53008,2.80448;Intermarché;INTERMARCHE LA BASSEE
60290001;49.33673,2.43351;Total Access;RELAIS DU TIRELET
60510001;49.41938,2.25509;Intermarché;INTERMARCHE BRESLES
62223001;50.3039378401,2.7890932052;Leclerc;NICOLADIS
60000002;49.436133752,2.08521809609;Total;RELAIS FRANC MARCHE
60300006;49.1610849367,2.23112194952;Total Access;Relais Total Access Néflier
60440001;49.136766363,2.80336744688;Intermarché;INTERMARCHE NANTEUIL LE HAUDOUIN
62012001;50.3005643241,2.73552528488;Auchan;Auchan
62128006;50.19898,2.88315;Carrefour Contact;CARREFOUR CONTACT
62300005;50.42702,2.81944;Esso Express;ESSO STE BARBE
60500002;49.17802,2.45555;Esso Express;ESSO CHANTILLY
62114002;50.45509,2.68353;Total;GARAGE DE LA GOHELLE
62147004;50.11131,3.03771;Intermarché;INTERMARCHE CONTACT
63460002;45.98578,3.08724;Esso;SARL HERVIER
63940001;45.48106,3.72648;Indépendant sans enseigne;SARL GARAGE GRENIER
64150003;43.3901862691,-0.580183656923;Total;SARL GGE PAMBRUN
62460002;50.4686902028,2.50274075639;Carrefour Market;CARREFOUR MARKET ERCAVITO
62530001;50.452,2.63671;Intermarché;INTERMARCHE HERSIN COUPIGNY
62780003;50.4946,1.59569;Intermarché;INTERMARCHE CUCQ
63300002;45.85531,3.50831;Total;RICOU
62630002;50.51122,1.64565;Esso;STATION ESSO
62881001;50.46172,2.82749;CORA;CORA LENS 2
63100007;45.78049,3.13629;Leclerc;BREZET Centre E.Leclerc
64170001;43.4016478401,-0.587442421982;Total;EURL FERREIRA
63430003;45.79827,3.24054;Avia;GARAGE GAYARD EURL
63500003;45.5537009095,3.24943759778;Total Access;RELAIS TOTAL ACCESS DU STADE
64800001;43.17994,-0.26411;Système U;SUPER U
66270001;42.68555,2.81296;Intermarché;INTERMARCHE LE SOLER
67160001;49.0268909254,7.94643951956;Supermarché Match;SUPERMARCHES MATCH  WISSEMBOURG
67260001;48.97417,7.06519;Total;RELAIS DE KESKASTEL EST
67270002;48.75758,7.57295;Leclerc;E.LECLERC EXPRESS
67460003;;Leader Price;LEADER PRICE SOUFFELWEYERSHEIM
68290002;47.7743069347,6.9986671352;Leclerc;E. Leclerc Express
68350001;47.7235353202,7.31967524915;Système U;68350001
65230002;43.2934968442,0.515014625794;Intermarché Contact;INTERMARCHE CONTACT
65300003;43.11945,0.41081;Elan;RELAIS DE LA DEMI LUNE
66000012;42.6892652597,2.87834157436;Indépendant sans enseigne;PETROR
66820001;42.55668,2.38437;Intermarché Contact;INTERMARCHE VERNET LES BAINS
67270001;48.75507,7.57831;Supermarché Match;SUPERMARCHES MATCH  HOCHFELDEN
68160003;48.25399,7.20421;Total Access;RELAIS DE SAINTE MARIE AUX MINES
66420001;42.78737,3.0349;Système U;STATION U
67120005;48.5274071818,7.56838236649;Leclerc;E. Leclerc Express
68100008;47.74935,7.35047;Oil France;I.S. INDUSTRIES SERVICES
69120006;45.76772,4.9354;Indépendant sans enseigne;GARIBALDI AUTOMOBILES
69290002;45.74114,4.692;Leclerc;GREZDIS
69320003;45.66935,4.85051;Total;GARAGE VICOLETTO
69380006;45.87284,4.74852;Avia;BIGILLON GILLES
70700003;47.42536,5.84325;Carrefour Contact;CARREFOUR CONTACT BUCEY LES GY
69220001;46.10463,4.74306;Carrefour Market;Carrefour Market
69300003;45.7881414242,4.8394864324;Total;ETS DI LORENZO
69800009;45.6955563535,4.94585927934;Indépendant sans enseigne;Clinic'auto
71600001;46.44572,4.11965;Total;Relais Lagarde Paray Le Monial
69110004;45.7489,4.79384;BP;BP STE FOY LES LYON
69340003;45.37326,4.81222;Shell;SHELL ROUSSILLON
69590002;45.63046,4.45638;Avia;ETS GRANJON
70200005;47.67185,6.51182;Intermarché;INTERMARCHE LURE
71140002;46.62425,3.75736;Agip;AGIP BOURBON LANCY
73190002;45.525,5.97704;BP;BP A43 AIRE DE L'ABIS
74100008;46.1843820024,6.27550188605;Intermarché;INTERMARCHE VETRAZ MONTHOUX
71140001;46.62338,3.76072;Atac;ATAC BOURBON LANCY
71600007;46.44042,4.11364;Intermarché;INTERMARCHE PARAY LE MONIAL
73410001;45.7611346227,5.93298562241;Intermarché;INTERMARCHE LA BIOLLE
73420004;45.63796,5.88988;Leclerc;Leclerc Drive
73700001;45.62329,6.77967;Système U;SODIBAL SAS
74550001;46.3038599879,6.43658171728;Elan;AGD DEREMBLE
71400006;46.9565905809,4.2870085408;Avia;Station Avia Neucheze
74270001;46.0179720866,5.92404249154;Carrefour Contact;Carrefour Contact
74570003;45.99738,6.23997;Elan;THORENS AUTOMOBILE
75015007;48.84762,2.30336;Avia;SOCARDI SARL
75015018;48.83344,2.28592;BP;BP PARIS PORTE VERSAILLES 8 à Huit
75015020;48.84023,2.32165;Total;TOTAL RELAIS MONTPARNASSE
76350001;49.34583,1.09642;Système U;SUPER U
74270003;46.0197,5.93893;Elan;GARAGE GLANDUT
74300004;46.08617,6.52416;Intermarché;INTERMARCHE THYEZ
75019002;48.88384,2.38977;Total;RELAIS PARIS MANIN
76190001;49.62369,0.77917;Total;SARL SYLDA
76210003;49.61386,0.5463;Esso;ESSO BOLLEVILLE
76300004;49.41148,1.08621;Carrefour Market;Carrefour Market
76000007;49.44952,1.0493;Esso Express;ESSO DU MIN
76600011;49.49374,0.13718;Esso Express;ESSO W.CHURCHILL
76620002;49.50563,0.10145;Carrefour Market;Carrefour Market
77520001;48.47701,3.13957;Casino;CASINO DONNEMARIE DONTILLY
76300002;49.41643,1.10767;Avia;SARL ALBIK
76330001;49.48839,0.5661;Esso Express;ESSO N D GRAVENCHON
76770002;49.5140706915,1.03729663689;Leclerc;E. LECLERC Le Houlme
77260001;48.97018,3.06256;BP;BP A4 AIRE D'USSY SUR MARNE
78711002;48.9776422529,1.71361500893;SOS PETRO;SOS PETRO
77250004;48.36797,2.82794;Carrefour Market;CSF FRANCE STATION SERVICE
77350004;48.5397990412,2.61159622791;Intermarché;Intermarché
78240001;48.90722,2.04571;Total;RELAIS DE CHAMBOURCY
77940001;48.2808811272,2.96032371052;Intermarché;ECOMARCHE
78150007;48.81865,2.11953;Indépendant sans enseigne;Sarl sodical
78200011;48.97104,1.68579;Esso;Garage des Mongazons
78540001;48.97561,1.99535;Carrefour Market;Carrefour Market
79160002;46.43043,-0.50163;Leclerc;SODIPLEC Niort Canepetière
79160003;46.42905,-0.50681;Leclerc;SODIPLEC Niort Chateaudrie
80700004;49.7084083502,2.77543806036;Intermarché;INTERMARCHE
81000004;43.91954,2.13176;Indépendant sans enseigne;AUTO 81 SARL
78180009;;Total Access;TOTAL ACCESS PORTE SUD
81160001;43.9503922196,2.20999332738;Carrefour Market;Carrefour Market
82240001;44.17787,1.62304;Indépendant sans enseigne;SARL GERAUD TAMPIER
79500005;46.22407,-0.13018;Intermarché;INTERMARCHE ST LEGER SUR MELLE
80420001;50.01404,2.08043;Indépendant sans enseigne;LEADER PRICE  FLIXECOURT
81000003;43.93807,2.18317;Total;STATION TOTAL BRUZZECHESSE
81120002;43.77115,2.18349;Intermarché;INTERMARCHE REALMONT
82410001;44.0484865263,1.46372975978;Carrefour Contact;Carrefour Contact
83550001;43.41424,6.45226;Agip;AGIP VIDAUBAN A8 AIX VERS NICE
83600010;43.42938,6.7612;Avia;Station service gallieni Avia
83600012;43.4313088421,6.7545892972;Casino;CASINO SUPERMARCHE
83830002;43.5540783182,6.52434933103;Indépendant sans enseigne;GARAGE PITTALIS
84100007;44.13559,4.81309;Total;RELAIS DE LA COMTADINE
81370002;43.76664,1.69252;Elan;GOMEZ SOCIETE NOUVELLE
83240006;43.1844966461,6.54258139572;Avia;Avia express
83390002;43.23672,6.07375;Casino;CASINO SUPERMARCHE
83600013;43.5449204222,6.78887161199;Leclerc;SODIPLEC ESTEREL
84100004;44.1526345539,4.8033312547;Intermarché;INTERMARCHE ORANGE
86011002;46.57527,0.36704;Géant;Géant Casino
83600017;43.4273903848,6.74477142347;Total Access;TOTAL ACESS
85130003;46.94013,-1.0684;Intermarché;PROXI SUPER
85310002;46.5821,-1.37539;Elan;GUERINEAU
86170002;46.68459,0.2532;Système U;Super U NEUVILLE DE POITOU
86550001;46.5400788102,0.402960383138;Carrefour Contact;CARREFOUR CONTACT
87220001;45.81244,1.32188;Système U;Super U FEYTIAT
87290001;46.13635,1.2668;Intermarché Contact;SAS PONSAISE
86190001;46.64242,0.17175;Système U;Super U VOUILLE
87600001;45.82066,0.82571;Total;MR MOUNIER
88140001;48.1877614993,5.89355120111;Total;RELAIS DU VAIR
88340002;;Avia;Avia
89130002;47.7217607339,3.31312771295;Intermarché;INTERMARCHE TOUCY
91100001;48.60757,2.44925;Total Access;RELAIS TOTAL ACCESS CORBEIL ESSONNES
86500001;46.4307,0.88374;Système U;Super U Coop Atlantique Montmorillon
87270004;45.86703,1.23821;Esso Express;ESSO EXPRESS COUZEIX
88250002;48.00647,6.87886;Système U;SUPERMARCHE SUPER U - S.A. SYVI
89000002;47.79242,3.5803;Atac;ATAC AUXERRE
91100004;48.61078,2.45194;Total Access;EOR CORBEIL FERAY
91160006;48.67883,2.28329;BP;BP BALLAINVILLIERS
92000001;48.8879706,2.18965697632;Total Access;RELAIS TOTAL ACCESS
91430001;48.74525,2.22104;BP;BP IGNY OUEST
91940001;48.67808,2.19873;Total Access;RELAIS TOTAL ACCESS LES ULIS (1)COUR
92000008;48.8884947491,2.19358;Total;RELAIS GOULVENTS
92230003;48.925844746,2.29199166369;Carrefour;CARREFOUR GENNEVILLIERS
92300007;48.89616,2.28689;BP;BP LEVALLOIS PRESIDENT WILSON 8 à Huit
91300015;48.72478,2.29964;Total Access;RELAIS TOTAL MASSY LECLERC SARL CARBU SERVICES
91700003;48.6394630408,2.33363236649;Carrefour;CARREFOUR SAINTE GENEVIEVE DES BOIS
92220009;48.79741,2.29816;BP;BP BAGNEUX CHATILLON
94100006;48.79916,2.4999;Esso Express;ESSO FOCH
94800002;48.79261,2.36955;Total Access;RELAIS total access ST SIMON
95000011;49.03199,2.06858;BP;BP CERGY LHAUTIL 8 à Huit
94220003;48.82547,2.40774;Avia;STATION AVIA
94170002;48.8508,2.49526;Esso Express;ESSO LE PERREUX
94240004;48.77682,2.34011;BP;BP L'HAY LES ROSES
95000010;49.05453,2.04674;BP;BP JOUY LE MOUTIER LES BOURSEAUX
95520001;49.064,2.06577;Auchan;AUCHAN
95130002;48.98975,2.22909;Oil France;IS INDUSTRIES SERVICES
91400004;48.7240313233,2.16666654947;Total Access;RELAIS SACLAY
91540005;48.55575,2.43671;BP;BP MENNECY
92700005;48.927665512,2.23825947584;Shell;SARL FD PERFORMANCE
93300004;48.91268,2.40171;Esso Express;ESSO MALADRERIE
93150008;48.94818,2.46733;Leclerc;DRIVE E.LECLERC BLANC MESNIL
95100002;48.95463,2.27332595196;Total Access;RELAIS ARGENTEUIL BALMONT
95230001;48.98701,2.29582;Total;RELAIS DE SOISY
92200003;48.88176,2.28027;BP;BP NEUILLY LES TERNES
93160007;48.84191,2.55868;TOTAL;Total metin noisy le grand
93300003;48.91932,2.39367;BP;BP AUBERVILLIERS PONT BLANC
93600005;48.94008,2.49597;Esso;ESSO GARONOR
93600015;48.95565,2.48788;BP;BP AULNAY RN370
94200007;48.80595,2.37609;Total;Station Total
94370007;48.77333,2.51743;Total;SARL DURMUS
94800001;48.77033,2.36785;Total Access;RELAIS TOTAL ACCESS VILLEJUIF
95300001;49.04464,2.09609;Total;RELAIS VIOSNE
95370004;48.9850542078,2.18181283895;Total Access;RELAIS DU CROISILLON
95712001;48.9998173201,2.52286702801;Total;RELAIS DU CEDRE
95800005;49.04592,2.02126;BP;BP CERGY ST CHRISTOPHE 8 à Huit
30133001;43.96041,4.75015;Leclerc;S.A. ANGLEDIS
30220003;43.62837,4.19197;Système U;U EXPRESS
30104001;44.1113787899,4.09637855867;CORA;CORA
30900002;43.81719,4.34044;Carrefour;CARREFOUR NIMES VILLE ACTIVE
27930005;49.06757,1.17164;Leclerc;Sa reclo
28330002;48.143614568,0.971622749629;Intermarché;INTERMARCHE LA BAZOCHE GOUET
3110002;46.19171,3.26434;Avia;STATION SERVICE AVIA
