Identifiant;Marque;Nom;Latitude;Longitude
24750004;Intermarché;INTERMARCHE TRELISSAC;45.19834;0.74134
25320001;Carrefour Contact;Carrefour Contact;47.18753;5.91233
29200010;Intermarché;INTERMARCHE BREST;48.41533;-4.47533
22200003;Carrefour;CARREFOUR PAYS DE GUINGAMP;48.5625605107;-3.16559732183
22110001;Carrefour Market;Carrefour Market;48.24262;-3.29499
13800009;Avia;SARL SUD AUTO 2000 - STATION AVIA;43.49934;4.98601
14123002;Total Access;RELAIS DES CALLOUINS;49.14448;-0.33842
38090003;Avia;AVIA TABAC PRESSE LOTO;45.6232205325;5.15669399445
38490003;Indépendant sans enseigne;STOP GARAGE  STATION BP;45.5329241084;5.58670737542
38980001;Elan;STATION ELAN / AGENT RENAULT;45.32076;5.20681
7150004;Indépendant sans enseigne;RELAIS DU PONT D'ARC;44.4064985395;4.39083404804
27100001;Simply Market;SIMPLY MARKET;49.26986;1.20884
27190002;Intermarché;INTERMARCHE CONCHES EN OUCHE;48.9535972071;0.946259483827
27230003;Total;GARAGE DU STADE;49.14151;0.44866
28130003;Intermarché;INTERMARCHE MAINTENON;48.57925;1.56624
30290001;Système U;U EXPRESS LAUDUN                            LA STATION U;44.105758402;4.66087927933
27700001;Carrefour Market;Carrefour Market;49.2441711809;1.4081919423
28400003;Indépendant sans enseigne;GS Carburants;48.30526;0.80853
28240004;Intermarché;INTERMARCHE LA LOUPE;48.4722859448;1.01985977764
29419001;Leclerc;SODILECK S.A.S;48.4661160368;-4.25568975978
11150002;Indépendant sans enseigne;STATION BOURREL;43.27933715;2.0937715565
13010008;Intermarché;INTERMARCHE MARSEILLE;43.28328;5.43351
17630001;Intermarché;INTERMARCHE LA FLOTTE EN RE;46.17889;-1.32777
18500001;Carrefour Market;Carrefour Market;47.154267089;2.21208602341
19100005;Esso Express;ESSO BRUNE;45.15325;1.5339
8700001;Carrefour Market;Carrefour Market;49.81889;4.74094
6670004;Agip;AGIP COLOMARS;43.7571209527;7.19827558858
13751001;Géant;GEANT CASINO;43.41711;5.35583
21190002;Carrefour Market;Carrefour Market;46.9199;4.75292
30310001;Système U;SUPER U;43.74219;4.22104
31140003;Total;MR FRAYCINET ROBERT;43.67784;1.42332
31220006;Indépendant sans enseigne;SARL FONTENERGIE;43.2620572186;1.11530700217
31290001;Système U;SUPER U;43.4036866906;1.72141802463
31440001;Elan;STE EXPL DES ETS FERNANDEZ;42.91085;0.63846
42440004;Intermarché;INTERMARCHE NOIRETABLE;45.8301789287;3.7545071848
26300008;Indépendant sans enseigne;Station 24/24 - Garage ROCHE;44.9760483777;5.02829306929
29800003;Intermarché;INTERMARCHE LANDERNEAU;48.45012;-4.26509
30300008;Esso;Le Mistral;43.81227;4.63004
